node_id,n_seeds,mean_before,std_before,ci95_before,mean_after,std_after,ci95_after,delta_mean
core.skill_loader.SkillRegistry._scan_dir,5,9.557305604404006e-05,0.0,0.0,9.557305604404006e-05,0.0,0.0,0.0
core.skill_loader.SkillRegistry.discover,5,8.84935704111482e-05,0.0,0.0,8.84935704111482e-05,0.0,0.0,0.0
config.load,5,7.008690776562938e-05,0.0,0.0,7.008690776562938e-05,0.0,0.0,0.0
core.skill_loader.SkillRegistry._read_metadata,5,5.805178218971323e-05,7.576092996970438e-21,9.406961921381852e-21,5.805178218971323e-05,7.576092996970438e-21,9.406961921381852e-21,0.0
templates.skills.media.spotify.spotify_ctl._get_token,5,5.274216796504433e-05,0.0,0.0,5.274216796504433e-05,0.0,0.0,0.0
core.skillhub._api_get,5,4.814050230366462e-05,0.0,0.0,4.814050230366462e-05,0.0,0.0,0.0
config.get,5,4.6724605177086255e-05,0.0,0.0,4.6724605177086255e-05,0.0,0.0,0.0
templates.skills.dev.github.gh._headers,5,4.601665661379707e-05,0.0,0.0,4.601665661379707e-05,0.0,0.0,0.0
templates.skills.dev.github.gh._load_token,5,4.4600759487218694e-05,0.0,0.0,4.4600759487218694e-05,0.0,0.0,0.0
templates.skills.dev.github.gh._get,5,4.200494808849168e-05,0.0,0.0,4.200494808849168e-05,0.0,0.0,0.0
channels.discord_bot.DiscordBot._setup_handlers,5,3.3273582474591724e-05,0.0,0.0,3.3273582474591724e-05,0.0,0.0,0.0
templates.skills.productivity.obsidian.obsidian_vault._find_vault,5,3.1857685348013357e-05,0.0,0.0,3.1857685348013357e-05,0.0,0.0,0.0
config._strip_json5,5,2.831794253156743e-05,3.788046498485219e-21,4.703480960690926e-21,2.831794253156743e-05,3.788046498485219e-21,4.703480960690926e-21,0.0
main._cmd_chat,5,2.831794253156743e-05,3.788046498485219e-21,4.703480960690926e-21,2.831794253156743e-05,3.788046498485219e-21,4.703480960690926e-21,0.0
templates.skills.communication.slack.slack_api._api,5,2.513217399676609e-05,0.0,0.0,2.513217399676609e-05,0.0,0.0,0.0
main._handle_legacy_mode,5,2.407025115183231e-05,0.0,0.0,2.407025115183231e-05,0.0,0.0,0.0
scheduler.cron.CronScheduler._load_dynamic_jobs,5,2.1946405461964753e-05,0.0,0.0,2.1946405461964753e-05,0.0,0.0,0.0
templates.skills.productivity.notion.notion_api._api,5,1.98225597720972e-05,0.0,0.0,1.98225597720972e-05,0.0,0.0,0.0
channels.discord_bot.DiscordBot._handle_chat,5,1.9232602636022876e-05,0.0,0.0,1.9232602636022876e-05,0.0,0.0,0.0
core.skill_loader.SkillRegistry._read_category,5,1.8406662645518826e-05,0.0,0.0,1.8406662645518826e-05,0.0,0.0,0.0
core.skillhub._api_get_async,5,1.8406662645518826e-05,0.0,0.0,1.8406662645518826e-05,0.0,0.0,0.0
scheduler.cron._parse_cron,5,1.7698714082229642e-05,0.0,0.0,1.7698714082229642e-05,0.0,0.0,0.0
scheduler.heartbeat.HeartbeatMonitor._probe,5,1.7698714082229642e-05,0.0,0.0,1.7698714082229642e-05,0.0,0.0,0.0
core.llm.anthropic_client.AnthropicProvider._prepare_request,5,1.6990765518940455e-05,0.0,0.0,1.6990765518940455e-05,0.0,0.0,0.0
main._build_provider,5,1.628281695565127e-05,0.0,0.0,1.628281695565127e-05,0.0,0.0,0.0
templates.skills.system.change_setting.update_config._load_config,5,1.628281695565127e-05,0.0,0.0,1.628281695565127e-05,0.0,0.0,0.0
scheduler.cron.CronScheduler.load_and_register_jobs,5,1.5574868392362085e-05,0.0,0.0,1.5574868392362085e-05,0.0,0.0,0.0
core.llm.anthropic_client.AnthropicProvider._convert_user_content,5,1.4866919829072898e-05,0.0,0.0,1.4866919829072898e-05,0.0,0.0,0.0
web.app._get_agent,5,1.4512945547428308e-05,1.8940232492426095e-21,2.351740480345463e-21,1.4512945547428308e-05,1.8940232492426095e-21,2.351740480345463e-21,0.0
scheduler.cron._dynamic_jobs_file,5,1.4158971265783714e-05,1.8940232492426095e-21,2.351740480345463e-21,1.4158971265783714e-05,1.8940232492426095e-21,2.351740480345463e-21,0.0
templates.skills.communication.email.send_email.send_email,5,1.4158971265783714e-05,1.8940232492426095e-21,2.351740480345463e-21,1.4158971265783714e-05,1.8940232492426095e-21,2.351740480345463e-21,0.0
core.agent,5,1.3510018416101957e-05,1.8940232492426095e-21,2.351740480345463e-21,1.3510018416101957e-05,1.8940232492426095e-21,2.351740480345463e-21,0.0
channels.discord_bot.DiscordBot._register_file_sender,5,1.3451022702494528e-05,0.0,0.0,1.3451022702494528e-05,0.0,0.0,0.0
core.agent.Agent._init_system_prompt,5,1.3451022702494528e-05,0.0,0.0,1.3451022702494528e-05,0.0,0.0,0.0
web.app._maybe_start_channels,5,1.3097048420849934e-05,0.0,0.0,1.3097048420849934e-05,0.0,0.0,0.0
main._run_foreground,5,1.2389099857560749e-05,0.0,0.0,1.2389099857560749e-05,0.0,0.0,0.0
templates.skills.media.spotify.spotify_ctl._api,5,1.2389099857560749e-05,0.0,0.0,1.2389099857560749e-05,0.0,0.0,0.0
config.get_bool,5,1.2035125575916155e-05,0.0,0.0,1.2035125575916155e-05,0.0,0.0,0.0
config.get_list,5,1.2035125575916155e-05,0.0,0.0,1.2035125575916155e-05,0.0,0.0,0.0
core.skill_loader.SkillRegistry._parse_metadata_block,5,1.1681151294271564e-05,0.0,0.0,1.1681151294271564e-05,0.0,0.0,0.0
channels.telegram_bot.TelegramBot._flush_stream,5,1.1504164153449267e-05,0.0,0.0,1.1504164153449267e-05,0.0,0.0,0.0
core.memory.storage.MemoryStorage._save_memory_md,5,1.132717701262697e-05,0.0,0.0,1.132717701262697e-05,0.0,0.0,0.0
core.skillhub._get_ssl_ctx,5,1.132717701262697e-05,0.0,0.0,1.132717701262697e-05,0.0,0.0,0.0
core.memory.storage.MemoryStorage._parse_memory_md,5,1.0619228449337785e-05,0.0,0.0,1.0619228449337785e-05,0.0,0.0,0.0
server.start_channels,5,1.0619228449337785e-05,0.0,0.0,1.0619228449337785e-05,0.0,0.0,0.0
templates.skills.data.weather.weather._fetch_json,5,1.0619228449337785e-05,0.0,0.0,1.0619228449337785e-05,0.0,0.0,0.0
templates.skills.media.image_gen.generate.generate,5,1.0619228449337785e-05,0.0,0.0,1.0619228449337785e-05,0.0,0.0,0.0
templates.skills.dev.github.gh._post,5,1.0383245594908055e-05,0.0,0.0,1.0383245594908055e-05,0.0,0.0,0.0
core.agent._log_detail,5,1.0265254167693192e-05,0.0,0.0,1.0265254167693192e-05,0.0,0.0,0.0
templates.skills.system.change_setting.update_config.set_value,5,1.0147262740478328e-05,0.0,0.0,1.0147262740478328e-05,0.0,0.0,0.0
daemon.daemon_status,5,9.9112798860486e-06,0.0,0.0,9.9112798860486e-06,0.0,0.0,0.0
scheduler.heartbeat.HeartbeatMonitor._loop,5,9.9112798860486e-06,0.0,0.0,9.9112798860486e-06,0.0,0.0,0.0
core.persistent_agent.PersistentAgent._restore,5,9.203331322759413e-06,0.0,0.0,9.203331322759413e-06,0.0,0.0,0.0
core.tools._venv_env,5,9.203331322759413e-06,0.0,0.0,9.203331322759413e-06,0.0,0.0,0.0
scheduler.cron.CronScheduler._register_dynamic_jobs,5,9.203331322759413e-06,0.0,0.0,9.203331322759413e-06,0.0,0.0,0.0
templates.skills.system.change_setting.update_config._config_file,5,9.203331322759413e-06,0.0,0.0,9.203331322759413e-06,0.0,0.0,0.0
channels.telegram_bot.TelegramBot.build_application,5,8.495382759470228e-06,0.0,0.0,8.495382759470228e-06,0.0,0.0,0.0
main,5,8.495382759470228e-06,0.0,0.0,8.495382759470228e-06,0.0,0.0,0.0
templates.skills.communication.email.send_email._load_email_config,5,8.495382759470228e-06,0.0,0.0,8.495382759470228e-06,0.0,0.0,0.0
templates.skills.media.spotify.spotify_ctl._get_config,5,8.495382759470228e-06,0.0,0.0,8.495382759470228e-06,0.0,0.0,0.0
templates.skills.system.change_setting.update_config._set_nested,5,8.495382759470228e-06,0.0,0.0,8.495382759470228e-06,0.0,0.0,0.0
channels.telegram_bot.TelegramBot._check_access,5,7.964421337003339e-06,0.0,0.0,7.964421337003339e-06,0.0,0.0,0.0
core.persistent_agent,5,7.846429909788474e-06,0.0,0.0,7.846429909788474e-06,0.0,0.0,0.0
core.agent.Agent._sanitize_tool_pairs,5,7.787434196181042e-06,0.0,0.0,7.787434196181042e-06,0.0,0.0,0.0
core.memory.storage.MemoryStorage._load,5,7.787434196181042e-06,0.0,0.0,7.787434196181042e-06,0.0,0.0,0.0
scheduler.cron.CronScheduler._save_dynamic_jobs,5,7.787434196181042e-06,0.0,0.0,7.787434196181042e-06,0.0,0.0,0.0
templates.skills.data.scraper.scrape.scrape,5,7.787434196181042e-06,0.0,0.0,7.787434196181042e-06,0.0,0.0,0.0
templates.skills.productivity.trello.trello_api._get,5,7.787434196181042e-06,0.0,0.0,7.787434196181042e-06,0.0,0.0,0.0
templates.skills.system.change_setting.update_config._mask_value,5,7.433459914536449e-06,0.0,0.0,7.433459914536449e-06,0.0,0.0,0.0
templates.skills.web.summarize.summarize_url.fetch_and_extract,5,7.433459914536449e-06,0.0,0.0,7.433459914536449e-06,0.0,0.0,0.0
web.app._register_web_file_sender,5,7.433459914536449e-06,0.0,0.0,7.433459914536449e-06,0.0,0.0,0.0
templates.skills.data.pdf_convert.convert_pdf.pdf_to_images,5,7.3154684873215865e-06,9.470116246213047e-22,1.1758702401727315e-21,7.3154684873215865e-06,9.470116246213047e-22,1.1758702401727315e-21,0.0
config._find_config_file,5,7.079485632891857e-06,9.470116246213047e-22,1.1758702401727315e-21,7.079485632891857e-06,9.470116246213047e-22,1.1758702401727315e-21,0.0
scheduler.cron._cron_dir,5,7.079485632891857e-06,9.470116246213047e-22,1.1758702401727315e-21,7.079485632891857e-06,9.470116246213047e-22,1.1758702401727315e-21,0.0
templates.skills.data.youtube.youtube_info._try_import,5,7.079485632891857e-06,9.470116246213047e-22,1.1758702401727315e-21,7.079485632891857e-06,9.470116246213047e-22,1.1758702401727315e-21,0.0
core.session_store,5,6.961494205676993e-06,9.470116246213047e-22,1.1758702401727315e-21,6.961494205676993e-06,9.470116246213047e-22,1.1758702401727315e-21,0.0
templates.skills.data.pdf_reader.read_pdf.parse_page_range,5,6.725511351247264e-06,0.0,0.0,6.725511351247264e-06,0.0,0.0,0.0
channels.discord_bot.DiscordBot._build_image_input,5,6.37153706960267e-06,0.0,0.0,6.37153706960267e-06,0.0,0.0,0.0
core.tools._detect_venv,5,6.37153706960267e-06,0.0,0.0,6.37153706960267e-06,0.0,0.0,0.0
core.tools._resolve_in_sandbox,5,6.37153706960267e-06,0.0,0.0,6.37153706960267e-06,0.0,0.0,0.0
templates.skills.system.change_setting.update_config.get_value,5,6.253545642387806e-06,9.470116246213047e-22,1.1758702401727315e-21,6.253545642387806e-06,9.470116246213047e-22,1.1758702401727315e-21,0.0
core.agent.Agent._use_skill,5,6.017562787958078e-06,0.0,0.0,6.017562787958078e-06,0.0,0.0,0.0
core.compaction.memory_flush,5,6.017562787958078e-06,0.0,0.0,6.017562787958078e-06,0.0,0.0,0.0
core.skill_loader.SkillRegistry._parse_deps,5,6.017562787958078e-06,0.0,0.0,6.017562787958078e-06,0.0,0.0,0.0
daemon.read_pid,5,6.017562787958078e-06,0.0,0.0,6.017562787958078e-06,0.0,0.0,0.0
main._ensure_configured,5,6.017562787958078e-06,0.0,0.0,6.017562787958078e-06,0.0,0.0,0.0
templates.skills.data.pdf_merge.merge_pdf.merge_pdfs,5,6.017562787958078e-06,0.0,0.0,6.017562787958078e-06,0.0,0.0,0.0
templates.skills.system.onboarding.write_identity.write_persona,5,5.781579933528349e-06,0.0,0.0,5.781579933528349e-06,0.0,0.0,0.0
channels.telegram_bot.TelegramBot._register_commands,5,5.663588506313485e-06,0.0,0.0,5.663588506313485e-06,0.0,0.0,0.0
core.compaction.persist_compaction,5,5.663588506313485e-06,0.0,0.0,5.663588506313485e-06,0.0,0.0,0.0
core.llm.gemini_client.GeminiProvider._convert_user_parts,5,5.663588506313485e-06,0.0,0.0,5.663588506313485e-06,0.0,0.0,0.0
core.persistent_agent.PersistentAgent._save,5,5.663588506313485e-06,0.0,0.0,5.663588506313485e-06,0.0,0.0,0.0
scheduler.cron.CronScheduler._load_jobs,5,5.663588506313485e-06,0.0,0.0,5.663588506313485e-06,0.0,0.0,0.0
scheduler.heartbeat.HeartbeatMonitor._log,5,5.663588506313485e-06,0.0,0.0,5.663588506313485e-06,0.0,0.0,0.0
scheduler.heartbeat._build_file_logger,5,5.663588506313485e-06,0.0,0.0,5.663588506313485e-06,0.0,0.0,0.0
templates.skills.data.csv_analyzer.analyze.cmd_info,5,5.663588506313485e-06,0.0,0.0,5.663588506313485e-06,0.0,0.0,0.0
templates.skills.data.pdf_split.split_pdf.parse_range,5,5.663588506313485e-06,0.0,0.0,5.663588506313485e-06,0.0,0.0,0.0
templates.skills.media.image_gen.generate._get_api_key,5,5.663588506313485e-06,0.0,0.0,5.663588506313485e-06,0.0,0.0,0.0
templates.skills.productivity.trello.trello_api._post,5,5.663588506313485e-06,0.0,0.0,5.663588506313485e-06,0.0,0.0,0.0
templates.skills.productivity.trello.trello_api._put,5,5.663588506313485e-06,0.0,0.0,5.663588506313485e-06,0.0,0.0,0.0
templates.skills.data.youtube.youtube_info.get_transcript,5,5.427605651883757e-06,0.0,0.0,5.427605651883757e-06,0.0,0.0,0.0
core.compaction.messages_to_text,5,5.3096142246688925e-06,0.0,0.0,5.3096142246688925e-06,0.0,0.0,0.0
templates.skills.data.finance.fetch_quote.fetch_quote,5,5.3096142246688925e-06,0.0,0.0,5.3096142246688925e-06,0.0,0.0,0.0
templates.skills.data.pdf_convert.convert_pdf.images_to_pdf,5,5.1916227974540274e-06,0.0,0.0,5.1916227974540274e-06,0.0,0.0,0.0
channels.discord_bot.DiscordBot._cmd_status,5,5.073631370239164e-06,0.0,0.0,5.073631370239164e-06,0.0,0.0,0.0
channels.discord_bot.DiscordBot._transcribe_audio,5,4.9556399430243e-06,0.0,0.0,4.9556399430243e-06,0.0,0.0,0.0
channels.telegram_bot._split_message,5,4.9556399430243e-06,0.0,0.0,4.9556399430243e-06,0.0,0.0,0.0
templates.skills.communication.slack.slack_api._get_token,5,4.9556399430243e-06,0.0,0.0,4.9556399430243e-06,0.0,0.0,0.0
templates.skills.productivity.notion.notion_api._get_token,5,4.9556399430243e-06,0.0,0.0,4.9556399430243e-06,0.0,0.0,0.0
templates.skills.productivity.trello.trello_api._get_creds,5,4.9556399430243e-06,0.0,0.0,4.9556399430243e-06,0.0,0.0,0.0
templates.skills.system.change_setting.update_config._mask_dict,5,4.9556399430243e-06,0.0,0.0,4.9556399430243e-06,0.0,0.0,0.0
templates.skills.system.change_setting.update_config._save_config,5,4.9556399430243e-06,0.0,0.0,4.9556399430243e-06,0.0,0.0,0.0
web.app._api_status,5,4.9556399430243e-06,0.0,0.0,4.9556399430243e-06,0.0,0.0,0.0
channels.whatsapp_bot._transcribe_wa_audio,5,4.601665661379706e-06,0.0,0.0,4.601665661379706e-06,0.0,0.0,0.0
core.agent.Agent._get_pruned_messages,5,4.601665661379706e-06,0.0,0.0,4.601665661379706e-06,0.0,0.0,0.0
core.llm.base,5,4.601665661379706e-06,0.0,0.0,4.601665661379706e-06,0.0,0.0,0.0
core.session_store.SessionStore._parse_markdown,5,4.601665661379706e-06,0.0,0.0,4.601665661379706e-06,0.0,0.0,0.0
core.agent.Agent._cap_parallel_skills,5,4.247691379735114e-06,0.0,0.0,4.247691379735114e-06,0.0,0.0,0.0
core.agent._load_text_dir_or_file,5,4.247691379735114e-06,0.0,0.0,4.247691379735114e-06,0.0,0.0,0.0
core.llm.anthropic_client.AnthropicProvider._response_from_blocks,5,4.247691379735114e-06,0.0,0.0,4.247691379735114e-06,0.0,0.0,0.0
core.persistent_agent.PersistentAgent._ensure_ts,5,4.247691379735114e-06,0.0,0.0,4.247691379735114e-06,0.0,0.0,0.0
core.skillhub._download_skill_zip,5,4.247691379735114e-06,0.0,0.0,4.247691379735114e-06,0.0,0.0,0.0
core.stt._build_url,5,4.247691379735114e-06,0.0,0.0,4.247691379735114e-06,0.0,0.0,0.0
scheduler.heartbeat.HeartbeatMonitor._maybe_alert,5,4.247691379735114e-06,0.0,0.0,4.247691379735114e-06,0.0,0.0,0.0
templates.skills.data.csv_analyzer.analyze.cmd_groupby,5,4.247691379735114e-06,0.0,0.0,4.247691379735114e-06,0.0,0.0,0.0
templates.skills.data.csv_analyzer.analyze.load_data,5,4.247691379735114e-06,0.0,0.0,4.247691379735114e-06,0.0,0.0,0.0
templates.skills.data.pdf_protect.protect_pdf.decrypt_pdf,5,4.247691379735114e-06,0.0,0.0,4.247691379735114e-06,0.0,0.0,0.0
templates.skills.dev.http_request.request.http_request,5,4.247691379735114e-06,0.0,0.0,4.247691379735114e-06,0.0,0.0,0.0
web.app._reload_agent_identity,5,4.247691379735114e-06,0.0,0.0,4.247691379735114e-06,0.0,0.0,0.0
templates.skills.system.onboarding.write_identity.write_soul,5,4.12969995252025e-06,0.0,0.0,4.12969995252025e-06,0.0,0.0,0.0
channels.telegram_bot.TelegramBot._register_file_sender,5,4.070704238912817e-06,0.0,0.0,4.070704238912817e-06,0.0,0.0,0.0
channels.whatsapp_bot._build_wa_image_input,5,3.893717098090521e-06,0.0,0.0,3.893717098090521e-06,0.0,0.0,0.0
core.agent.Agent._normalize_input,5,3.893717098090521e-06,0.0,0.0,3.893717098090521e-06,0.0,0.0,0.0
core.retrieval.dense._char_bigrams,5,3.893717098090521e-06,0.0,0.0,3.893717098090521e-06,0.0,0.0,0.0
templates.skills.communication.slack.slack_api._resolve_channel,5,3.893717098090521e-06,0.0,0.0,3.893717098090521e-06,0.0,0.0,0.0
